record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code
REC00001,P02,DA002,DB002,CAT02,683.69,VALID
REC00002,P03,DA003,DB003,CAT03,2562.33,VALID
REC00003,P04,DA004,DB004,CAT01,2607.93,VALID
REC00004,P01,DA005,DB005,CAT02,4314.0,VALID
REC00005,P02,DA001,DB006,CAT03,602.92,VALID
REC00006,P03,DA002,DB001,CAT01,1194.09,VALID
REC00008,P01,DA004,DB003,CAT03,2827.14,VALID
REC00009,P02,DA005,DB004,CAT01,3938.53,VALID
REC00010,P03,DA001,DB005,CAT02,2784.28,VALID
REC00011,P04,DA002,DB006,CAT03,3679.64,VALID
REC00012,P01,DA003,DB001,CAT01,3863.77,VALID
REC00013,P02,DA004,DB002,CAT02,3780.03,VALID
REC00015,P04,DA001,DB004,CAT01,1275.68,VALID
REC00016,P01,DA002,DB005,CAT02,3109.6,VALID
REC00017,P02,DA003,DB006,CAT03,642.61,VALID
REC00018,P03,DA004,DB001,CAT01,4102.13,VALID
REC00019,P04,DA005,DB002,CAT02,2303.31,VALID
REC00020,P01,DA001,DB003,CAT03,4092.34,VALID
