record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code
REC00001,P02,DA002,DB002,CAT02,3457.37,VALID
REC00002,P03,DA003,DB003,CAT03,3429.01,VALID
REC00003,P04,DA004,DB004,CAT01,1130.1,VALID
REC00004,P01,DA005,DB005,CAT02,1332.41,VALID
REC00005,P02,DA001,DB006,CAT03,4901.57,VALID
REC00006,P03,DA002,DB001,CAT01,4653.65,VALID
REC00007,P04,DA003,DB002,CAT02,4045.17,REVIEW
REC00008,P01,DA004,DB003,CAT03,4998.32,VALID
REC00009,P02,DA005,DB004,CAT01,2616.58,VALID
REC00010,P03,DA001,DB005,CAT02,473.97,VALID
REC00011,P04,DA002,DB006,CAT03,1767.93,VALID
REC00012,P01,DA003,DB001,CAT01,2831.51,VALID
REC00013,P02,DA004,DB002,CAT02,1531.4,VALID
REC00014,P03,DA005,DB003,CAT03,2341.49,REVIEW
REC00015,P04,DA001,DB004,CAT01,4394.73,VALID
REC00016,P01,DA002,DB005,CAT02,3549.48,VALID
REC00017,P02,DA003,DB006,CAT03,2929.37,VALID
REC00018,P03,DA004,DB001,CAT01,221.22,VALID
REC00019,P04,DA005,DB002,CAT02,3583.23,VALID
REC00021,P02,DA001,DB001,CAT01,,VALID
REC00003,P04,DA004,DB004,CAT01,1130.10,VALID
REC00022,P01,DA999,DB002,CAT02,875.00,VALID
REC00023,P03,DA002,DB003,CAT03,12O5.40,VALID
REC00024,P02,DA008,DB001,CAT02,640.25,VALID
rec00025,p01 , da003,DB005,cat01, 980.5 ,valid
REC00026,P99,DA005,DB002,CAT02,1510.00,VALID
