record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code
REC00001,P02,DA002,DB002,CAT02,2168.87,VALID
REC00002,P03,DA003,DB003,CAT03,2053.99,VALID
REC00004,P01,DA005,DB005,CAT02,2542.43,VALID
REC00005,P02,DA001,DB006,CAT03,670.59,VALID
REC00006,P03,DA002,DB001,CAT01,2581.16,VALID
REC00008,P01,DA004,DB003,CAT03,3040.81,VALID
REC00009,P02,DA005,DB004,CAT01,2506.05,VALID
REC00010,P03,DA001,DB005,CAT02,4592.10,VALID
REC00011,P04,DA002,DB006,CAT03,1367.35,VALID
REC00012,P01,DA003,DB001,CAT01,2157.83,VALID
REC00013,P02,DA004,DB002,CAT02,4638.54,VALID
REC00015,P04,DA001,DB004,CAT01,2638.14,VALID
REC00016,P01,DA002,DB005,CAT02,224.34,VALID
REC00017,P02,DA003,DB006,CAT03,1200.17,VALID
REC00018,P03,DA004,DB001,CAT01,732.09,VALID
REC00019,P04,DA005,DB002,CAT02,339.55,VALID
REC00025,P01,DA003,DB005,CAT01,980.50,VALID
