record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code,priority
REC00001,P02,DA002,DB002,CAT02,4445.44,VALID,HIGH
REC00002,P03,DA003,DB003,CAT03,602.62,VALID,LOW
REC00004,P01,DA005,DB005,CAT02,2403.20,VALID,MEDIUM
REC00005,P02,DA001,DB006,CAT03,2462.35,VALID,MEDIUM
REC00006,P03,DA002,DB001,CAT01,1221.74,VALID,LOW
REC00008,P01,DA004,DB003,CAT03,3170.69,VALID,MEDIUM
REC00009,P02,DA005,DB004,CAT01,2338.30,VALID,MEDIUM
REC00010,P03,DA001,DB005,CAT02,2400.09,VALID,MEDIUM
REC00011,P04,DA002,DB006,CAT03,4654.38,VALID,HIGH
REC00012,P01,DA003,DB001,CAT01,4937.41,VALID,HIGH
REC00013,P02,DA004,DB002,CAT02,2773.60,VALID,MEDIUM
REC00015,P04,DA001,DB004,CAT01,3381.79,VALID,MEDIUM
REC00016,P01,DA002,DB005,CAT02,1607.37,VALID,LOW
REC00017,P02,DA003,DB006,CAT03,4019.03,VALID,HIGH
REC00018,P03,DA004,DB001,CAT01,2559.31,VALID,MEDIUM
REC00019,P04,DA005,DB002,CAT02,2446.58,VALID,MEDIUM
REC00025,P01,DA003,DB005,CAT01,980.50,VALID,LOW
