record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code
REC00001,P02,DA002,DB002,CAT02,2222.03,VALID
REC00002,P03,DA003,DB003,CAT03,1542.43,VALID
REC00004,P01,DA005,DB005,CAT02,262.24,VALID
REC00005,P02,DA001,DB006,CAT03,3312.65,VALID
REC00006,P03,DA002,DB001,CAT01,3026.64,VALID
REC00008,P01,DA004,DB003,CAT03,2662.16,VALID
REC00009,P02,DA005,DB004,CAT01,2498.64,VALID
REC00010,P03,DA001,DB005,CAT02,4615.40,VALID
REC00011,P04,DA002,DB006,CAT03,1374.54,VALID
REC00012,P01,DA003,DB001,CAT01,2479.29,VALID
REC00013,P02,DA004,DB002,CAT02,2605.21,VALID
REC00015,P04,DA001,DB004,CAT01,4059.00,VALID
REC00016,P01,DA002,DB005,CAT02,2833.41,VALID
REC00017,P02,DA003,DB006,CAT03,4545.60,VALID
REC00018,P03,DA004,DB001,CAT01,4173.87,VALID
REC00019,P04,DA005,DB002,CAT02,1651.62,VALID
REC00025,P01,DA003,DB005,CAT01,980.50,VALID
