record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code,movement_amount
REC00001,P02,DA002,DB002,CAT02,582.03,VALID,-1720.00
REC00002,P03,DA003,DB003,CAT03,3477.73,VALID,3308.97
REC00004,P01,DA005,DB005,CAT02,2624.35,VALID,
REC00005,P02,DA001,DB006,CAT03,2319.31,VALID,2319.31
REC00006,P03,DA002,DB001,CAT01,4829.81,VALID,4247.78
REC00008,P01,DA004,DB003,CAT03,4227.95,VALID,
REC00009,P02,DA005,DB004,CAT01,2447.82,VALID,-176.53
REC00010,P03,DA001,DB005,CAT02,415.05,VALID,-1904.26
REC00011,P04,DA002,DB006,CAT03,1405.68,VALID,-3424.13
REC00012,P01,DA003,DB001,CAT01,2542.26,VALID,
REC00013,P02,DA004,DB002,CAT02,573.65,VALID,-3654.30
REC00016,P01,DA002,DB005,CAT02,2302.03,VALID,
REC00017,P02,DA003,DB006,CAT03,168.76,VALID,-3354.00
REC00018,P03,DA004,DB001,CAT01,101.05,VALID,-472.60
REC00019,P04,DA005,DB002,CAT02,2945.14,VALID,2945.14
REC00025,P01,DA003,DB005,CAT01,980.50,VALID,
