record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code,policy_rate,computed_amount
REC00001,P02,DA002,DB002,CAT02,507.02,VALID,0.1000,50.70
REC00002,P03,DA003,DB003,CAT03,3989.48,VALID,0.1250,498.69
REC00004,P01,DA005,DB005,CAT02,3143.27,VALID,0.1000,314.33
REC00005,P02,DA001,DB006,CAT03,3784.09,VALID,0.1250,473.01
REC00006,P03,DA002,DB001,CAT01,4786.20,VALID,0.0825,394.86
REC00008,P01,DA004,DB003,CAT03,3213.50,VALID,0.1250,401.69
REC00009,P02,DA005,DB004,CAT01,858.33,VALID,0.0825,70.81
REC00010,P03,DA001,DB005,CAT02,1635.87,VALID,0.1000,163.59
REC00011,P04,DA002,DB006,CAT03,2957.02,VALID,0.1250,369.63
REC00012,P01,DA003,DB001,CAT01,3870.69,VALID,0.0825,319.33
REC00013,P02,DA004,DB002,CAT02,4754.68,VALID,0.1000,475.47
REC00015,P04,DA001,DB004,CAT01,3630.32,VALID,0.0825,299.50
REC00016,P01,DA002,DB005,CAT02,760.84,VALID,0.1000,76.08
REC00017,P02,DA003,DB006,CAT03,1192.35,VALID,0.1250,149.04
REC00018,P03,DA004,DB001,CAT01,2980.88,VALID,0.0825,245.92
REC00019,P04,DA005,DB002,CAT02,4795.56,VALID,0.1000,479.56
REC00025,P01,DA003,DB005,CAT01,980.50,VALID,0.0825,80.89
