record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code
REC00001,P02,DA002,DB002,CAT02,2573.13,VALID
REC00002,P03,DA003,DB003,CAT03,513.72,VALID
REC00003,P04,DA004,DB004,CAT01,3375.92,VALID
REC00004,P01,DA005,DB005,CAT02,4681.77,VALID
REC00005,P02,DA001,DB006,CAT03,3938.85,VALID
REC00006,P03,DA002,DB001,CAT01,4583.58,VALID
REC00008,P01,DA004,DB003,CAT03,2118.99,VALID
REC00009,P02,DA005,DB004,CAT01,4059.18,VALID
REC00010,P03,DA001,DB005,CAT02,2648.15,VALID
REC00011,P04,DA002,DB006,CAT03,1063.82,VALID
REC00012,P01,DA003,DB001,CAT01,169.25,VALID
REC00013,P02,DA004,DB002,CAT02,620.06,VALID
REC00015,P04,DA001,DB004,CAT01,351.74,VALID
REC00016,P01,DA002,DB005,CAT02,1800.39,VALID
REC00017,P02,DA003,DB006,CAT03,1831.67,VALID
REC00018,P03,DA004,DB001,CAT01,3870.72,VALID
REC00019,P04,DA005,DB002,CAT02,226.37,VALID
REC00020,P01,DA001,DB003,CAT03,2600.9,VALID
