record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code
REC00001,P02,DA002,DB002,CAT02,1706.02,VALID
REC00002,P03,DA003,DB003,CAT03,1587.99,VALID
REC00004,P01,DA005,DB005,CAT02,694.73,VALID
REC00005,P02,DA001,DB006,CAT03,4749.03,VALID
REC00006,P03,DA002,DB001,CAT01,2900.93,VALID
REC00008,P01,DA004,DB003,CAT03,854.06,VALID
REC00009,P02,DA005,DB004,CAT01,2646.11,VALID
REC00010,P03,DA001,DB005,CAT02,2224.68,VALID
REC00011,P04,DA002,DB006,CAT03,1748.45,VALID
REC00012,P01,DA003,DB001,CAT01,3031.28,VALID
REC00013,P02,DA004,DB002,CAT02,3424.64,VALID
REC00015,P04,DA001,DB004,CAT01,2055.87,VALID
REC00016,P01,DA002,DB005,CAT02,1057.92,VALID
REC00017,P02,DA003,DB006,CAT03,4615.13,VALID
REC00018,P03,DA004,DB001,CAT01,321.66,VALID
REC00019,P04,DA005,DB002,CAT02,2769.36,VALID
REC00025,P01,DA003,DB005,CAT01,980.50,VALID
