period,cost_center,country,budget_cost,actual_cost,variance,variance_pct,headcount_effect,rate_effect,mix_effect,one_off_effect,material_flag,primary_driver
2026-01,CC100,CR1,142043.62,157340.37,15296.75,10.8,11213.97,3784.04,298.74,0.0,YES,HEADCOUNT
2026-02,CC100,CR1,142043.62,142596.36,552.74,0.4,-7475.98,8474.76,-446.04,0.0,NO,
2026-03,CC100,CR1,145781.61,157711.01,11929.4,8.2,7475.98,4236.18,217.24,0.0,NO,
2026-04,CC100,CR1,145781.61,150741.78,4960.17,3.4,11213.97,-5807.1,-446.7,0.0,NO,
2026-05,CC100,CR1,149519.6,156487.8,6968.2,4.7,7475.98,-483.6,-24.18,0.0,NO,
2026-06,CC100,CR1,149519.6,144418.4,-5101.2,-3.4,0.0,-5101.2,-0.0,0.0,NO,
2026-01,CC100,MX1,46666.56,51978.29,5311.73,11.4,3888.88,1313.4,109.45,0.0,NO,
2026-02,CC100,MX1,46666.56,41146.16,-5520.4,-11.8,-3888.88,-1779.84,148.32,0.0,NO,
2026-03,CC100,MX1,50555.44,61122.24,10566.8,20.9,11666.64,-893.62,-206.22,0.0,NO,
2026-04,CC100,MX1,50555.44,57420.86,6865.42,13.6,3888.88,2763.93,212.61,0.0,NO,
2026-05,CC100,MX1,54444.32,61665.9,7221.58,13.3,3888.88,3110.52,222.18,0.0,NO,
2026-06,CC100,MX1,54444.32,64547.64,10103.32,18.6,11666.64,-1287.44,-275.88,0.0,NO,
2026-01,CC100,PL1,54525.35,72280.74,17755.39,32.6,14870.55,2266.66,618.18,0.0,YES,HEADCOUNT
2026-02,CC100,PL1,54525.35,61077.24,6551.89,12.0,4956.85,1462.12,132.92,0.0,NO,
2026-03,CC100,PL1,59482.2,65348.66,5866.46,9.9,4956.85,839.64,69.97,0.0,NO,
2026-04,CC100,PL1,59482.2,57619.43,-1862.77,-3.1,-4956.85,3375.36,-281.28,0.0,NO,
2026-05,CC100,PL1,64439.05,64157.73,-281.32,-0.4,0.0,-281.32,-0.0,0.0,NO,
2026-06,CC100,PL1,64439.05,71295.84,6856.79,10.6,4956.85,1764.23,135.71,0.0,NO,
