period,cost_center,country,budget_headcount,budget_rate,actual_headcount,actual_rate,one_off_amount,revenue
2026-01,CC100,CR1,38,3737.99,41,3837.57,0.00,214224.08
2026-02,CC100,CR1,38,3737.99,36,3961.01,0.00,295809.32
2026-03,CC100,CR1,39,3737.99,41,3846.61,0.00,324349.69
2026-04,CC100,CR1,39,3737.99,42,3589.09,0.00,329815.89
2026-05,CC100,CR1,40,3737.99,42,3725.90,0.00,261523.24
2026-06,CC100,CR1,40,3737.99,40,3610.46,0.00,376516.83
2026-01,CC100,MX1,12,3888.88,13,3998.33,0.00,371490.25
2026-02,CC100,MX1,12,3888.88,11,3740.56,0.00,194588.33
2026-03,CC100,MX1,13,3888.88,16,3820.14,0.00,417468.46
2026-04,CC100,MX1,13,3888.88,14,4101.49,0.00,207006.63
2026-05,CC100,MX1,14,3888.88,15,4111.06,0.00,309477.76
2026-06,CC100,MX1,14,3888.88,17,3796.92,0.00,347240.28
2026-01,CC100,PL1,11,4956.85,14,5162.91,0.00,276124.49
2026-02,CC100,PL1,11,4956.85,12,5089.77,0.00,292701.63
2026-03,CC100,PL1,12,4956.85,13,5026.82,0.00,333774.71
2026-04,CC100,PL1,12,4956.85,11,5238.13,0.00,414312.90
2026-05,CC100,PL1,13,4956.85,13,4935.21,0.00,267150.85
2026-06,CC100,PL1,13,4956.85,14,5092.56,0.00,207319.78
2026-01,CC200,CR1,23,3870.47,24,3913.57,0.00,374425.70
2026-02,CC200,CR1,23,3870.47,26,3785.09,0.00,271419.67
2026-03,CC200,CR1,24,3870.47,25,3728.31,0.00,186177.83
2026-04,CC200,CR1,24,3870.47,25,3732.48,0.00,229057.26
2026-05,CC200,CR1,25,3870.47,24,4007.21,0.00,232953.77
2026-06,CC200,CR1,25,3870.47,24,3985.00,0.00,188843.06
2026-01,CC200,MX1,25,3860.87,23,3904.89,0.00,268393.33
2026-02,CC200,MX1,25,3860.87,26,3815.27,0.00,294302.98
2026-03,CC200,MX1,26,3860.87,28,3799.06,0.00,417246.82
2026-04,CC200,MX1,26,3860.87,28,4063.28,0.00,267406.27
2026-05,CC200,MX1,27,3860.87,27,4002.35,0.00,232772.21
2026-06,CC200,MX1,27,3860.87,25,4072.33,0.00,399708.68
2026-01,CC200,PL1,29,4092.94,27,4134.45,0.00,239413.38
2026-02,CC200,PL1,29,4092.94,28,4331.89,0.00,419638.83
2026-03,CC200,PL1,30,4092.94,33,3992.58,0.00,402601.70
2026-04,CC200,PL1,30,4092.94,30,4190.93,0.00,235083.41
2026-05,CC200,PL1,31,4092.94,34,4134.77,0.00,297539.42
2026-06,CC200,PL1,31,4092.94,32,4036.73,0.00,407202.58
2026-01,CC300,CR1,18,4097.59,16,4047.72,0.00,406536.88
2026-02,CC300,CR1,18,4097.59,21,4196.03,0.00,286823.64
2026-03,CC300,CR1,19,4097.59,19,4234.45,0.00,305035.32
2026-04,CC300,CR1,19,4097.59,17,4213.67,0.00,346585.13
2026-05,CC300,CR1,20,4097.59,20,4162.34,0.00,243799.49
2026-06,CC300,CR1,20,4097.59,20,4032.53,0.00,284466.96
2026-01,CC300,MX1,11,3974.27,11,4117.52,0.00,280237.39
2026-02,CC300,MX1,11,3974.27,10,4173.37,0.00,369415.88
2026-03,CC300,MX1,12,3974.27,15,3953.40,0.00,268432.83
2026-04,CC300,MX1,12,3974.27,13,4039.18,0.00,184106.88
2026-05,CC300,MX1,13,3974.27,13,4174.50,0.00,371455.51
2026-06,CC300,MX1,13,3974.27,12,4177.16,0.00,308384.12
2026-01,CC300,PL1,32,5502.54,33,5386.40,0.00,244967.28
2026-02,CC300,PL1,32,5502.54,35,5553.01,0.00,326672.25
2026-03,CC300,PL1,33,5502.54,33,5576.41,26407.43,274597.68
2026-04,CC300,PL1,33,5502.54,33,5321.91,0.00,265382.14
2026-05,CC300,PL1,34,5502.54,33,5659.52,0.00,214034.07
2026-06,CC300,PL1,34,5502.54,33,5679.02,0.00,254542.91
2026-01,CC400,CR1,19,4719.25,20,4703.02,0.00,187137.67
2026-02,CC400,CR1,19,4719.25,21,4824.49,0.00,296488.96
2026-03,CC400,CR1,20,4719.25,18,4845.44,0.00,261903.61
2026-04,CC400,CR1,20,4719.25,20,4947.80,0.00,203250.16
2026-05,CC400,CR1,21,4719.25,21,4534.13,0.00,266474.63
2026-06,CC400,CR1,21,4719.25,21,4931.04,0.00,345234.21
2026-01,CC400,MX1,26,3349.50,26,3383.34,0.00,347542.60
2026-02,CC400,MX1,26,3349.50,26,3383.23,0.00,273324.89
2026-03,CC400,MX1,27,3349.50,30,3497.84,0.00,239970.31
2026-04,CC400,MX1,27,3349.50,29,3478.60,0.00,191817.39
2026-05,CC400,MX1,28,3349.50,28,3352.03,0.00,347727.16
2026-06,CC400,MX1,28,3349.50,29,3390.17,0.00,285580.00
2026-01,CC400,PL1,11,5916.60,14,6017.43,0.00,254893.76
2026-02,CC400,PL1,11,5916.60,9,5870.61,0.00,299976.04
2026-03,CC400,PL1,12,5916.60,13,6054.18,0.00,220885.47
2026-04,CC400,PL1,12,5916.60,14,5813.46,0.00,310632.09
2026-05,CC400,PL1,13,5916.60,13,5972.58,0.00,282981.52
2026-06,CC400,PL1,13,5916.60,14,5848.93,0.00,404672.17
2026-01,CC500,CR1,26,3978.16,27,3877.99,0.00,242232.20
2026-02,CC500,CR1,26,3978.16,24,4154.27,0.00,326040.68
2026-03,CC500,CR1,27,3978.16,28,3983.10,0.00,328272.85
2026-04,CC500,CR1,27,3978.16,27,3954.23,0.00,364482.28
2026-05,CC500,CR1,28,3978.16,30,3972.05,22794.62,373723.80
2026-06,CC500,CR1,28,3978.16,28,4132.82,0.00,380579.25
2026-01,CC500,MX1,15,4730.71,18,4961.41,0.00,388414.26
2026-02,CC500,MX1,15,4730.71,16,5005.23,0.00,399608.63
2026-03,CC500,MX1,16,4730.71,16,4947.83,0.00,254649.43
2026-04,CC500,MX1,16,4730.71,16,4895.81,0.00,386290.29
2026-05,CC500,MX1,17,4730.71,20,4687.38,0.00,183109.34
2026-06,CC500,MX1,17,4730.71,17,4633.93,0.00,227251.53
2026-01,CC500,PL1,26,5812.06,26,6029.14,0.00,311079.53
2026-02,CC500,PL1,26,5812.06,24,5932.29,0.00,204558.88
2026-03,CC500,PL1,27,5812.06,29,5891.25,0.00,287628.56
2026-04,CC500,PL1,27,5812.06,30,5583.19,0.00,210388.74
2026-05,CC500,PL1,28,5812.06,29,5873.25,0.00,332531.82
2026-06,CC500,PL1,28,5812.06,30,5786.43,0.00,381688.94
2026-01,CC600,CR1,34,4985.50,32,5142.55,0.00,246841.98
2026-02,CC600,CR1,34,4985.50,34,5031.14,0.00,385322.08
2026-03,CC600,CR1,35,4985.50,34,5262.86,0.00,343788.34
2026-04,CC600,CR1,35,4985.50,36,5059.67,0.00,411033.86
2026-05,CC600,CR1,36,4985.50,37,5161.92,0.00,381371.89
2026-06,CC600,CR1,36,4985.50,36,4959.78,0.00,235608.35
2026-01,CC600,MX1,35,3099.01,33,3234.41,0.00,403928.38
2026-02,CC600,MX1,35,3099.01,33,3010.12,0.00,344458.11
2026-03,CC600,MX1,36,3099.01,34,3158.88,0.00,320897.16
2026-04,CC600,MX1,36,3099.01,38,3170.04,0.00,290624.45
2026-05,CC600,MX1,37,3099.01,38,3106.31,0.00,310342.37
2026-06,CC600,MX1,37,3099.01,38,3223.00,0.00,273781.75
2026-01,CC600,PL1,29,5871.32,30,5719.91,0.00,209389.65
2026-02,CC600,PL1,29,5871.32,31,5988.82,0.00,340584.60
2026-03,CC600,PL1,30,5871.32,28,5752.42,0.00,209572.95
2026-04,CC600,PL1,30,5871.32,31,6065.66,0.00,378192.81
2026-05,CC600,PL1,31,5871.32,32,5835.91,0.00,271590.39
2026-06,CC600,PL1,31,5871.32,33,5837.58,0.00,393461.70
